id,name,school,department,classification_2,classification_3,school_grade,class_period_semester,class_period_day_of_week,class_period_timetable,credit,professor,ratio_exam,ratio_assignment,ratio_attendance,image_professor,image_background,image_icon,syllabus_url,textbook,classroom,campus
1,解析力学,基幹理工,電子物理システム,C群,専門必修科目,2年以上,春学期,月,2,2,山本　知之,80,20,0,professor1.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012002012022260501200226&pLng=jp,指定なし,52-302,西早稲田
2,電磁気学A,基幹理工,電子物理システム,C群,専門必修科目,2年以上,春学期,火,3,2,"	川西　哲也",70,0,30,professor2.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012003012022260501200326&pLng=jp,書        電気磁気学　山田直平著　オーム社,52-302,西早稲田
3,回路理論A,基幹理工,電子物理システム,C群,専門必修科目,2年以上,春学期,木,2,2,"	川原田　洋",100,0,0,professor3.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012004012022260501200426&pLng=jpp,エース　電気回路理論入門　朝倉書店　　奥村浩士著,56－101,西早稲田
4,電子物理システム演習A,基幹理工,電子物理システム,C群,専門必修科目,2年以上,春学期,木,4~5,2,稲垣　惠三／奥村　雅彦／蔭浦　泰資／川西　哲也／史　又華／富田　基裕／柳澤　政生／山本　知之,0,50,50,prefessor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012006012022260501200626&pLng=jp,指定なし,"52-101, 52-102, 63号館3階端末質Aルーム",西早稲田
5,情報数学,基幹理工,電子物理システム,C群,専門必修科目,2年以上,春学期,水,2,2,柳澤　政生,70,10,20,professor4.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012010012022260501201026&pLng=jp,指定なし,52-202,西早稲田
6,論理回路,基幹理工,電子物理システム,C群,専門必修科目,2年以上,春学期,火,6,2,小川　哲司／山名　早人,70,30,0,prefessor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012004012022260701200426&pLng=jp,指定なし,63-201,西早稲田
7,量子力学A,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,月,4,2,山中　由也,80,0,20,professor5.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012007012022260501200726&pLng=jp,指定なし,-,-
8,電磁気学B,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,火,2,2,"	宇高　勝之",定期試験、出席、レポート、小テストの総合評価 / -,-,-,professor6.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012008012022260501200826&pLng=jp,「電気磁気学」山田直平著（オーム社）,-,-
9,回路理論B,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,月,3,2,谷井　孝至,70,0,30,professor7.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012009012022260501200926&pLng=jp,指定なし,-,-
10,電子物理システム演習B,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,木,4~5,2,奥村　雅彦／史　又華／中尾　正史／柳澤　政生／山本　欧,0,90,10,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012012012022260501201226&pLng=jp,指定なし,-,-
11,電子物理システム実験A,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,金,3~4,2,宇高　勝之／川西　哲也／川原田　洋／小山　泰正／史　又華／庄子　習一／谷井　孝至／柳澤　政生／山中　由也／山本　知之／渡邉　孝信,0,100,0,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012013012022260501201326&pLng=jp,電子物理システム実験A指導書,-,-
12,熱力学,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,火,3,2,伊藤 公久,60,40,0,pfofessor8.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012014012022260501201426&pLng=j,基礎材料科学（コロナ社）,-,-
13,電子デバイス,基幹理工,電子物理システム,C群,専門必修科目,2年以上,秋学期,木,2,2,史　又華／渡邉　孝信,70,0,30,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012015012022260501201526&pLng=jp,指定なし,-,-
14,既約表現論,基幹理工,電子物理システム,C群,専門必修科目,3年以上,春学期,金,2,2, 小山　泰正,70,30,0,pfofessor9.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013001012022260501300126&pLng=jp,指定なし,52-302,西早稲田
15,電子回路A,基幹理工,電子物理システム,C群,専門必修科目,3年以上,春学期,火,2,2,庄子　習一,60,30,10,pfofessor10.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013003012022260501300326&pLng=jp,樋口、江刺著「電子情報回路I」、森北出版（株）,52-304,西早稲田
16,光エレクトロニクス,基幹理工,電子物理システム,C群,専門必修科目,3年以上,春学期,火,4,2,宇高 勝之,定期試験、出席、レポート、小テストの総合評価 /-,-,-,professor6.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013004012022260501300426&pLng=jp,指定なし,52-202,西早稲田
17,電子物理システム実験B,基幹理工,電子物理システム,C群,専門必修科目,3年以上,春学期,月,3~4,2,"	宇高　勝之／川西　哲也／川原田　洋／小山　泰正／史　又華／庄子　習一／谷井　孝至／富田　基裕／柳澤　政生／山中　由也／山本　知之／渡邉　孝信",0,100,0,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013006012022260501300626&pLng=jp,電子物理システム実験B指導書,-,-
18,電子物理システム演習C,基幹理工,電子物理システム,C群,専門必修科目,3年以上,春学期,金,4,1,小山　泰正／史　又華／庄子　習一／谷村　誠／松本　敦／渡邉　孝信,0,100,0,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013011012022260501301126&pLng=jp,指定なし,52-302,西早稲田
19,電子物理特システム別概論,基幹理工,電子物理システム,C群,専門必修科目,3年以上,春学期,金,3,1,宇高　勝之／川西　哲也／川原田　洋／木村　晋二／小山　泰正／史　又華／庄子　習一／谷井　孝至／柳澤　政生／山中　由也／山本　知之／吉増　敏彦／渡邉　孝信,0,100,0,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013013012022260501301326&pLng=jp,指定なし,52-103,西早稲田
